"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ATP5MC11",2.31447535692595e-11,0.803262936119149,0.97,0.823,5.18488769458552e-07,"5","ATP5MC1"
"HIST1H4C",2.46017397731642e-11,1.77099770883353,0.924,0.692,5.51128174398424e-07,"5","HIST1H4C"
"CHEK1",2.60203663874902e-11,0.521118966720687,0.613,0.114,5.82908247812555e-07,"5","CHEK1"
"PGP",2.62500913076181e-11,0.586411264104877,0.781,0.338,5.8805454547326e-07,"5","PGP"
"SMC4",2.68731627383165e-11,0.646391145299249,0.802,0.332,6.02012591663766e-07,"5","SMC4"
"NCAPD3",2.92236191869039e-11,0.340944136154123,0.456,0.085,6.54667517025021e-07,"5","NCAPD3"
"RMI2",4.73558817470845e-11,0.389225136689971,0.517,0.073,1.06086646289819e-06,"5","RMI2"
"MAD2L1",4.89860055080575e-11,0.593402755170194,0.62,0.14,1.0973844953915e-06,"5","MAD2L1"
"HSPE11",5.47631440388926e-11,0.841883422342669,0.994,0.885,1.22680395275927e-06,"5","HSPE1"
"HMGA11",5.81427975277536e-11,0.610940226806667,0.952,0.673,1.30251495021674e-06,"5","HMGA1"
"MMS22L",6.38582321915999e-11,0.31278270928707,0.461,0.083,1.43055211755622e-06,"5","MMS22L"
"USP1",7.00492291504665e-11,0.634755428471449,0.794,0.38,1.56924283142875e-06,"5","USP1"
"MGST11",7.25883204137359e-11,0.797892037768286,0.953,0.691,1.62612355390851e-06,"5","MGST1"
"POLE3",7.48133870068339e-11,0.381698486682696,0.691,0.318,1.67596949572709e-06,"5","POLE3"
"PSIP1",8.84270513766836e-11,0.467935140557483,0.736,0.305,1.98094280494047e-06,"5","PSIP1"
"RFC2",1.15886458864379e-10,0.454798592447187,0.594,0.139,2.59608845147982e-06,"5","RFC2"
"BRCA2",1.1874209703511e-10,0.406793983768344,0.463,0.061,2.66006045778053e-06,"5","BRCA2"
"DONSON",1.21212465704465e-10,0.243543294460318,0.376,0.052,2.71540165671142e-06,"5","DONSON"
"HSPD11",1.29600601526899e-10,0.893063654264918,0.984,0.815,2.9033126754056e-06,"5","HSPD1"
"DNAJC9",1.61928004052584e-10,0.644861891302711,0.766,0.243,3.62751114678599e-06,"5","DNAJC9"
"SASS6",1.62773702135894e-10,0.240912311902433,0.393,0.087,3.64645647524829e-06,"5","SASS6"
"ECHS1",1.73304941431083e-10,0.534195329221539,0.943,0.742,3.88237729793913e-06,"5","ECHS1"
"TCF19",1.74964581504391e-10,0.348218081160117,0.425,0.036,3.91955655486138e-06,"5","TCF19"
"MCM2",1.84566719907216e-10,0.370274122991248,0.494,0.061,4.13466365936145e-06,"5","MCM2"
"TMEM97",2.11588443632306e-10,0.498259073712621,0.664,0.235,4.74000431425091e-06,"5","TMEM97"
"MND1",2.29178865441625e-10,0.388401289693443,0.425,0.05,5.13406494362329e-06,"5","MND1"
"ATP5ME1",2.61843006692582e-10,0.635866243994734,0.996,0.958,5.86580703592722e-06,"5","ATP5ME"
"CCNE2",2.64028404713603e-10,0.250392406402445,0.309,0.022,5.91476432239414e-06,"5","CCNE2"
"GGH1",2.64354388435983e-10,0.554686625968736,0.857,0.526,5.92206700974289e-06,"5","GGH"
"NME1",2.70316639400223e-10,0.631739359746151,0.894,0.614,6.05563335584379e-06,"5","NME1"
"EIF4EBP1",3.12535669351072e-10,0.677399305811009,0.867,0.461,7.0014240648027e-06,"5","EIF4EBP1"
"WDR76",3.38800015282516e-10,0.353042860287059,0.45,0.042,7.58979794235893e-06,"5","WDR76"
"DTL",3.62974332403441e-10,0.314944796697079,0.372,0.016,8.13135099450187e-06,"5","DTL"
"STMN1",3.72297270423541e-10,0.947285088508566,0.892,0.412,8.34020345202817e-06,"5","STMN1"
"MSH6",4.20742862846808e-10,0.412570143960646,0.556,0.122,9.4254816134942e-06,"5","MSH6"
"RNASEH2B",4.47497836571054e-10,0.377181051723613,0.722,0.403,1.00248465348647e-05,"5","RNASEH2B"
"FANCA",6.17704655486245e-10,0.335974731385586,0.47,0.074,1.38378196922029e-05,"5","FANCA"
"CDC45",6.47386137818877e-10,0.292081202095403,0.346,0.019,1.45027442594185e-05,"5","CDC45"
"ZNF367",6.60895584600835e-10,0.298916498002695,0.388,0.027,1.48053828862279e-05,"5","ZNF367"
"HINT11",7.80726479934706e-10,0.509650597830074,0.986,0.971,1.74898346034973e-05,"5","HINT1"
"POLD2",7.8615925858111e-10,0.721619721213578,0.864,0.457,1.7611539710734e-05,"5","POLD2"
