"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MAP4K12",7.84087672136068e-11,0.799634162010281,0.449,0.031,1.75651320311922e-06,"10","MAP4K1"
"ANP32E1",8.19488549248340e-11,1.44012880270121,0.675,0.308,1.83581824802613e-06,"10","ANP32E"
"ADA1",9.56078038720838e-11,0.770853523077679,0.415,0.071,2.14180602234242e-06,"10","ADA"
"EZR1",9.85290368881281e-11,1.03469991569792,0.874,0.706,2.20724748436785e-06,"10","EZR"
"AIM2",9.86652047337244e-11,0.806896948283467,0.403,0.015,2.2102979164449e-06,"10","AIM2"
"ETS12",1.03436063598609e-10,0.770661069697399,0.527,0.118,2.31717469673604e-06,"10","ETS1"
"MFNG2",1.05109759152928e-10,0.482646178929979,0.317,0.052,2.35466882454389e-06,"10","MFNG"
"ARPC31",1.0700821450591e-10,1.0111996992118,1,0.93,2.3971980213614e-06,"10","ARPC3"
"NFATC1",1.07497658233088e-10,0.715394027408109,0.391,0.02,2.40816253973764e-06,"10","NFATC1"
"CD72",1.07901019240642e-10,0.814586551783317,0.399,0.017,2.41719863302886e-06,"10","CD72"
"EIF3L1",1.22866115353643e-10,0.600869753405581,0.921,0.808,2.75244671615231e-06,"10","EIF3L"
"INPP5D2",1.33986863678366e-10,0.787539313828994,0.525,0.147,3.00157372012275e-06,"10","INPP5D"
"LCK1",1.53700833235036e-10,1.00464196384975,0.494,0.065,3.44320606613127e-06,"10","LCK"
"PAIP21",1.64191774655724e-10,0.881939599729065,0.814,0.629,3.67822413583753e-06,"10","PAIP2"
"NEIL1",1.7039931023419e-10,1.15234746237989,0.489,0.131,3.81728534786633e-06,"10","NEIL1"
"HMGA13",1.77726615848571e-10,1.20731181095839,0.828,0.692,3.9814316482397e-06,"10","HMGA1"
"HHEX1",2.14484487688422e-10,0.776531184773282,0.394,0.037,4.80488149319604e-06,"10","HHEX"
"TACC31",2.29074098044162e-10,1.08605663862525,0.465,0.095,5.13171794438531e-06,"10","TACC3"
"CENPM2",2.44639636919152e-10,1.13821503921682,0.525,0.15,5.48041714626284e-06,"10","CENPM"
"CCND32",2.55974357187211e-10,1.13840622078784,0.601,0.278,5.73433754970789e-06,"10","CCND3"
"UBE2D33",2.6242511083498e-10,0.721798910954558,0.912,0.873,5.87884733292522e-06,"10","UBE2D3"
"ARHGAP302",2.65848651342087e-10,0.810544064947528,0.527,0.073,5.95554148736543e-06,"10","ARHGAP30"
"WDR761",2.70598990042483e-10,0.70331636438104,0.382,0.066,6.0619585749317e-06,"10","WDR76"
"HMGB22",2.88317271761326e-10,3.16002313060015,0.79,0.547,6.45888352199722e-06,"10","HMGB2"
"NCAPG1",3.01087430054674e-10,0.622792463571755,0.315,0.046,6.74496060808481e-06,"10","NCAPG"
"HMGB12",3.04214580385846e-10,1.84313128684055,0.99,0.968,6.81501502980373e-06,"10","HMGB1"
"RBMX1",3.36215502956698e-10,1.00653285861566,0.871,0.73,7.53189969723596e-06,"10","RBMX"
"SRSF32",3.41791132209565e-10,0.971705761324857,0.931,0.883,7.65680494375867e-06,"10","SRSF3"
"UBE2C2",3.45469494486087e-10,1.75150674702363,0.442,0.105,7.73920761547733e-06,"10","UBE2C"
"EAF21",3.66534522270653e-10,1.0027973112289,0.535,0.133,8.21110636790717e-06,"10","EAF2"
"BIRC3",3.78575469181493e-10,1.3439797169607,0.613,0.22,8.48084766060381e-06,"10","BIRC3"
"TAGAP2",3.86666239583219e-10,0.69919371020906,0.379,0.053,8.66209709914326e-06,"10","TAGAP"
"SAMSN12",4.05997660576049e-10,0.791375834339511,0.422,0.077,9.09515959222466e-06,"10","SAMSN1"
"TMPO2",4.2431332021867e-10,1.00899663009489,0.656,0.427,9.50546699953866e-06,"10","TMPO"
"DOK3",4.55676639173518e-10,0.598518053672421,0.334,0.029,1.02080680707652e-05,"10","DOK3"
"IL163",4.84289740100908e-10,0.824578211671652,0.475,0.061,1.08490587577405e-05,"10","IL16"
"MOB3A1",5.40961976663405e-10,0.589602131733283,0.42,0.116,1.21186302012136e-05,"10","MOB3A"
"RMI21",6.32668865002061e-10,0.78537700781537,0.408,0.1,1.41730479137762e-05,"10","RMI2"
"PLEK3",6.34896636573861e-10,0.706118996626124,0.461,0.064,1.42229544525276e-05,"10","PLEK"
"UBE2G1",6.36673774241885e-10,0.750316682123102,0.575,0.313,1.42627658905667e-05,"10","UBE2G1"
"LYN1",6.48938788083202e-10,0.904003711955357,0.652,0.276,1.45375267306399e-05,"10","LYN"
"PPP1CC",6.53829267146611e-10,0.996989928226571,0.802,0.713,1.46470832426184e-05,"10","PPP1CC"
"RBBP72",6.7436630915932e-10,1.30251100270941,0.737,0.57,1.51071540577871e-05,"10","RBBP7"
"EEF22",7.2282563281549e-10,0.683998379638181,0.995,0.972,1.61927398263326e-05,"10","EEF2"
"STAG3",7.26686850900279e-10,0.853688933804766,0.36,0.044,1.62792388338681e-05,"10","STAG3"
"GTSE11",7.70004375371776e-10,0.887273856468474,0.353,0.061,1.72496380170785e-05,"10","GTSE1"
"S1PR2",8.54810841486619e-10,0.721669759549377,0.363,0.027,1.91494724709832e-05,"10","S1PR2"
"SRGN3",9.62550553563043e-10,0.237267490817499,0.585,0.212,2.15630575009193e-05,"10","SRGN"
"RPA32",1.00028211409704e-09,1.17551969075632,0.718,0.507,2.2408319920002e-05,"10","RPA3"
"TMEM1542",1.0118476879134e-09,0.657100933948527,0.411,0.091,2.2667411904636e-05,"10","TMEM154"
"MCUB1",1.02149291033403e-09,1.18524487768917,0.642,0.183,2.2883484177303e-05,"10","MCUB"
"RAB301",1.0277416666779e-09,0.488821275813378,0.334,0.096,2.30234688169183e-05,"10","RAB30"
"SEL1L31",1.05954797612823e-09,0.859932259481889,0.673,0.436,2.37359937612247e-05,"10","SEL1L3"
"LMNB12",1.07121685320491e-09,1.01916478245609,0.556,0.237,2.39973999454964e-05,"10","LMNB1"
"HNRNPK2",1.10984296311958e-09,0.779173644803878,0.936,0.917,2.48627020598048e-05,"10","HNRNPK"
"DDX53",1.11815390667818e-09,0.847144524908767,0.983,0.932,2.50488838174047e-05,"10","DDX5"
"PAG11",1.16471399125224e-09,0.864824082890612,0.527,0.204,2.60919228320326e-05,"10","PAG1"
"AC084033.3",1.26564831760208e-09,0.616326018314902,0.315,0.028,2.83530536109218e-05,"10","AC084033.3"
"EML6",1.34882087814435e-09,0.765489483972723,0.358,0.026,3.02162853121898e-05,"10","EML6"
"RPS15A2",1.41735621873698e-09,0.584804097235355,1,0.992,3.17516140121457e-05,"10","RPS15A"
"CNN21",1.42054139216029e-09,0.971493825855569,0.692,0.448,3.18229682671749e-05,"10","CNN2"
"SNHG251",1.42779649210972e-09,1.00728327192369,0.661,0.423,3.19854970162419e-05,"10","SNHG25"
"CD692",1.54172504766751e-09,1.22348861707782,0.492,0.121,3.45377245178475e-05,"10","CD69"
"RPL172",1.61613364925942e-09,0.86424709752473,0.99,0.928,3.62046260107096e-05,"10","RPL17"
"CYBC12",1.63109131372151e-09,0.788827122192044,0.601,0.287,3.65397076099892e-05,"10","CYBC1"
"BACH2",1.67580431726055e-09,0.735135434868062,0.303,0.007,3.75413683152709e-05,"10","BACH2"
"PTMA3",1.69974062582162e-09,1.04972762362818,1,0.998,3.80775894996559e-05,"10","PTMA"
"SMC1A2",1.71096347966915e-09,0.950998667502204,0.589,0.364,3.83290038715483e-05,"10","SMC1A"
"DOCK21",1.82750196954347e-09,0.501359262461025,0.353,0.04,4.09396991217127e-05,"10","DOCK2"
"KLHL51",1.84925498303367e-09,0.561890078844491,0.329,0.041,4.14270101299204e-05,"10","KLHL5"
"ARHGAP452",1.94580237414202e-09,0.680586459381457,0.527,0.227,4.35898647855296e-05,"10","ARHGAP45"
"ABI32",1.97118391912759e-09,0.828441031874665,0.489,0.055,4.41584621562963e-05,"10","ABI3"
"HNRNPA2B13",2.03611201033893e-09,1.00781772710548,0.976,0.959,4.56129812556128e-05,"10","HNRNPA2B1"
"EIF2S3",2.08064074041264e-09,0.752420787863759,0.819,0.628,4.6610513866724e-05,"10","EIF2S3"
"WDR12",2.20561230161094e-09,0.770403195736352,0.79,0.676,4.94101267806883e-05,"10","WDR1"
"BRCA11",2.22432900678499e-09,0.647810140272443,0.387,0.097,4.98294184099974e-05,"10","BRCA1"
"EED",2.22873695360021e-09,0.540559788158283,0.418,0.186,4.99281652345519e-05,"10","EED"
"FADS3",2.28393033872676e-09,0.501896333636694,0.296,0.051,5.11646074481569e-05,"10","FADS3"
"CRIP13",2.28980715145231e-09,1.37260814767903,0.819,0.516,5.12962598068347e-05,"10","CRIP1"
"RPA11",2.51277688870638e-09,0.661941294506032,0.482,0.223,5.62912278608004e-05,"10","RPA1"
"VRK12",2.57637591856667e-09,0.72295252425787,0.465,0.163,5.77159733277305e-05,"10","VRK1"
"SSBP2",2.57991669398073e-09,0.828724396117447,0.363,0.053,5.77952937785562e-05,"10","SSBP2"
"NDC801",2.6646109283233e-09,0.627312155281157,0.305,0.045,5.96926140162985e-05,"10","NDC80"
"CRLF32",2.90105408791852e-09,0.490912942981644,0.372,0.102,6.49894136775507e-05,"10","CRLF3"
"TOP2A2",2.91637724108282e-09,1.83697577246916,0.453,0.106,6.53326829547373e-05,"10","TOP2A"
"PIF11",3.17308945008902e-09,0.804158981984294,0.274,0.027,7.10835498608943e-05,"10","PIF1"
"ARL5A",3.34841461110615e-09,0.895175904825103,0.635,0.416,7.50111841179999e-05,"10","ARL5A"
"P2RY8",3.41921365065871e-09,0.547095065454157,0.334,0.017,7.65972242020564e-05,"10","P2RY8"
"CCNA22",3.56385618898311e-09,1.11354587633474,0.432,0.08,7.98375063455996e-05,"10","CCNA2"
"ASB21",3.57969684266068e-09,0.526477968506627,0.31,0.029,8.01923686692846e-05,"10","ASB2"
"BFSP2",3.67702241317064e-09,0.39821790934671,0.222,0.007,8.23726560998486e-05,"10","BFSP2"
"KCNK12",3.67702241317064e-09,0.331233329369222,0.186,0.011,8.23726560998486e-05,"10","KCNK12"
"LBR1",3.76111293327995e-09,1.20841467472746,0.685,0.462,8.42564519313373e-05,"10","LBR"
"PCLAF2",3.76172457212054e-09,2.03340238311206,0.568,0.204,8.42701538646443e-05,"10","PCLAF"
"KIF20B2",3.8264067120437e-09,0.949376226017458,0.477,0.154,8.5719163163203e-05,"10","KIF20B"
"AFF3",3.92295784931521e-09,0.51290377831255,0.279,0.016,8.78821017403594e-05,"10","AFF3"
"RPS81",4.10228420508602e-09,0.527591443323645,1,0.991,9.1899370762337e-05,"10","RPS8"
"EBF1",4.31255258081562e-09,0.633038853813883,0.348,0.013,9.66098029154315e-05,"10","EBF1"
"TRAF3IP33",4.40770726512525e-09,0.643990906470546,0.437,0.079,9.87414581533359e-05,"10","TRAF3IP3"
"CIRBP2",4.44261074695943e-09,0.719847883508577,0.943,0.857,9.9523365953385e-05,"10","CIRBP"
"CLECL12",4.65168818359151e-09,0.766572349827006,0.401,0.05,0.000104207118688817,"10","CLECL1"
"BCL11A1",4.70589993039389e-09,0.911410869645829,0.661,0.366,0.000105421570240684,"10","BCL11A"
"EMB2",5.09730856688919e-09,0.75524070406924,0.489,0.127,0.000114189906515452,"10","EMB"
"CDKN2C",5.14413323665926e-09,0.578585718050068,0.346,0.076,0.000115238872767641,"10","CDKN2C"
"AC114760.22",5.14625048466687e-09,0.706288882091473,0.387,0.059,0.000115286303357507,"10","AC114760.2"
"RRM22",5.15812237755557e-09,1.55160558755455,0.473,0.116,0.000115552257502,"10","RRM2"
"BCL7A",5.25150986546863e-09,1.02490814674722,0.549,0.197,0.000117644324006228,"10","BCL7A"
"PCBP21",5.76772627858037e-09,0.723572774972543,0.912,0.872,0.000129208604092758,"10","PCBP2"
"WDR66",6.12142345359725e-09,0.772137582328798,0.301,0.01,0.000137132128207485,"10","WDR66"
"TMEM243",6.36846757166723e-09,1.08588868713187,0.754,0.415,0.000142666410540489,"10","TMEM243"
"RBBP41",7.18111147147777e-09,0.940948874836698,0.697,0.552,0.000160871259184045,"10","RBBP4"
"DUT1",7.22406379904965e-09,1.8900942941597,0.754,0.599,0.00016183347722631,"10","DUT"
"NUGGC",7.30673091656564e-09,0.638425796966943,0.301,0.015,0.000163685385992903,"10","NUGGC"
"DTX1",7.30673091656564e-09,0.477843641916984,0.279,0.002,0.000163685385992903,"10","DTX1"
"TFDP11",7.33181134000397e-09,0.940369266411087,0.587,0.385,0.000164247237638769,"10","TFDP1"
"MYBL22",7.44001159888901e-09,0.855334275961827,0.43,0.091,0.000166671139838312,"10","MYBL2"
"MKI672",7.55963157125464e-09,1.63064814455523,0.504,0.141,0.000169350866459246,"10","MKI67"
"DNMT12",7.90103291496899e-09,1.21544166069835,0.623,0.297,0.000176998939361135,"10","DNMT1"
"GAPT1",7.96624114215689e-09,0.665350622021818,0.308,0.022,0.000178459734066599,"10","GAPT"
"MBNL12",8.61944798748141e-09,0.678587131707805,0.749,0.56,0.000193092873815559,"10","MBNL1"
"SUGCT",8.97357266288255e-09,1.18238782990383,0.332,0.025,0.000201025974793895,"10","SUGCT"
"CYB561A3",9.50626489981053e-09,0.80948271868631,0.544,0.258,0.000212959346285555,"10","CYB561A3"
"RASGRP22",9.91193493224541e-09,0.507677391611827,0.313,0.027,0.000222047166352162,"10","RASGRP2"
"SH3BP5",1.01489822710063e-08,0.565700057463861,0.403,0.117,0.000227357500835083,"10","SH3BP5"
"SGO21",1.05242902540798e-08,0.767268087908753,0.341,0.092,0.000235765150271896,"10","SGO2"
"CCNG2",1.08022170960388e-08,0.772353330113221,0.473,0.237,0.000241991267385461,"10","CCNG2"
"TYMS2",1.12917881200226e-08,1.14325925859944,0.487,0.188,0.000252958637464747,"10","TYMS"
"BRK12",1.17445417006499e-08,0.662715843688125,0.947,0.845,0.000263101223177959,"10","BRK1"
"DBF41",1.22211850956128e-08,0.610881151705439,0.43,0.227,0.000273778988511918,"10","DBF4"
"ARHGAP11A1",1.22271907406535e-08,0.684492983315079,0.327,0.078,0.000273913526972119,"10","ARHGAP11A"
"CPNE51",1.22271907406535e-08,0.585829869605624,0.346,0.045,0.000273913526972119,"10","CPNE5"
"EEF1D2",1.24754554713075e-08,0.54353262842775,0.998,0.976,0.000279475153468231,"10","EEF1D"
"SHKBP11",1.26778949492717e-08,0.637761719437655,0.551,0.322,0.000284010202653584,"10","SHKBP1"
"ARF63",1.30899277585881e-08,0.677746080555884,0.862,0.742,0.00029324056164789,"10","ARF6"
"ANKRD442",1.3176991522748e-08,0.784156836777116,0.504,0.093,0.000295190964092601,"10","ANKRD44"
"ZWINT2",1.38488915125478e-08,1.02745244370411,0.489,0.195,0.000310242867664096,"10","ZWINT"
"FCRL3",1.44308663395491e-08,0.661492606931915,0.308,0.005,0.000323280267738579,"10","FCRL3"
"CCDC167",1.5196584673059e-08,0.958143372432024,0.601,0.325,0.000340433889845868,"10","CCDC167"
"RUNX32",1.52762796594111e-08,0.470095976492506,0.322,0.046,0.000342219216930126,"10","RUNX3"
"SCIMP1",1.55892767748616e-08,0.568467891042635,0.325,0.027,0.000349230978310449,"10","SCIMP"
"CCDC18",1.64476643915665e-08,0.522159584521995,0.322,0.075,0.000368460577699872,"10","CCDC18"
"BLNK",1.68886819337088e-08,0.854177868394004,0.549,0.192,0.000378340252678944,"10","BLNK"
"ELOVL51",1.69287020626989e-08,0.68332599295787,0.453,0.094,0.000379236783608581,"10","ELOVL5"
"SKA22",1.82013202504088e-08,0.796049918377031,0.53,0.274,0.000407745976249659,"10","SKA2"
"GNAI22",1.95127230945476e-08,0.723570479284779,0.623,0.289,0.000437124022764055,"10","GNAI2"
"ARHGAP252",2.02425738861663e-08,0.547087655517162,0.379,0.039,0.000453474140197897,"10","ARHGAP25"
"RRAS2",2.08180027594257e-08,0.788235419150952,0.523,0.214,0.000466364897816654,"10","RRAS2"
"SERF23",2.14043594961128e-08,0.728512900179894,1,0.998,0.000479500461431918,"10","SERF2"
"RHOG1",2.21355915126464e-08,0.62985998414072,0.57,0.348,0.000495881521066306,"10","RHOG"
"BPTF",2.27127981747219e-08,0.713914260005697,0.723,0.582,0.00050881210471012,"10","BPTF"
"KNL11",2.30821359971697e-08,0.626860475933131,0.334,0.063,0.000517086010608595,"10","KNL1"
"HIST1H4C2",2.30928365256007e-08,2.98654389055631,0.821,0.708,0.000517325723846507,"10","HIST1H4C"
"CHST112",2.33765364597417e-08,0.360306663587665,0.255,0.038,0.000523681169771133,"10","CHST11"
"CD82",2.53689586896313e-08,0.775672307756363,0.53,0.289,0.000568315412565121,"10","CD82"
"SMC31",2.5839066222649e-08,0.821835721220571,0.632,0.502,0.000578846761519782,"10","SMC3"
"CDCA7L",2.60846987223203e-08,0.670085426533219,0.506,0.258,0.000584349420777419,"10","CDCA7L"
"NPM13",2.65860777978969e-08,0.866881321520767,0.993,0.938,0.000595581314828487,"10","NPM1"
"RFC31",2.70054407123462e-08,0.609074280512654,0.372,0.117,0.00060497588283798,"10","RFC3"
"MME",2.83301198102549e-08,0.455537376900246,0.236,0.004,0.000634651343989331,"10","MME"
"FAM30A1",3.05596742102158e-08,0.614887808012086,0.294,0.025,0.000684597821657255,"10","FAM30A"
"UBE2D21",3.09865187983301e-08,0.80660242046419,0.907,0.778,0.000694159994120191,"10","UBE2D2"
"RPSA4",3.32688507409446e-08,0.542313409562641,1,0.971,0.000745288794298642,"10","RPSA"
"RBM8A1",4.04124370795382e-08,0.608845117485349,0.792,0.736,0.000905319415455815,"10","RBM8A"
"RGS15",4.08557274987691e-08,1.04208603458531,0.48,0.178,0.000915250007427425,"10","RGS1"
"ZFAND6",4.25125161821063e-08,0.741002439400553,0.764,0.586,0.000952365387511546,"10","ZFAND6"
"ATAD51",4.35287725038431e-08,0.50809160937323,0.332,0.103,0.000975131561631092,"10","ATAD5"
"NCF41",4.43035347290558e-08,0.607219200610189,0.406,0.083,0.000992487785000308,"10","NCF4"
"UHRF11",4.52024745223775e-08,0.703032539738114,0.346,0.067,0.0010126258342503,"10","UHRF1"
"SMC42",4.61537372286485e-08,1.58604554255274,0.637,0.362,0.00103393602139618,"10","SMC4"
"MAP3K7CL",4.67182893888126e-08,0.68196228404266,0.337,0.027,0.00104658311888818,"10","MAP3K7CL"
"SLBP1",4.67394718646215e-08,1.42896023174326,0.606,0.389,0.00104705764871125,"10","SLBP"
"DHFR2",4.94810260221644e-08,1.08356336875326,0.544,0.23,0.00110847394494853,"10","DHFR"
"FERMT32",5.45788009667404e-08,0.697558579179127,0.456,0.17,0.00122267429925692,"10","FERMT3"
"GIT21",5.46775412085744e-08,0.491906228430038,0.372,0.148,0.00122488627815448,"10","GIT2"
"LINC02397",5.52887578035404e-08,0.65107721245335,0.286,0.006,0.00123857875231491,"10","LINC02397"
"CR1",5.52887578035404e-08,0.508778105090155,0.251,0.007,0.00123857875231491,"10","CR1"
"LINC01991",5.52887578035404e-08,0.450261004744196,0.234,0,0.00123857875231491,"10","LINC01991"
"MCM61",5.66344897595008e-08,0.504476316434026,0.305,0.114,0.00126872583959234,"10","MCM6"
"PPP2CA",5.72518885191682e-08,0.911070241057235,0.702,0.519,0.00128255680660641,"10","PPP2CA"
"SMCHD12",5.81327749206893e-08,0.603324589306542,0.63,0.397,0.00130229042377328,"10","SMCHD1"
"RPS4X2",6.1025005341845e-08,0.55891572322156,1,0.989,0.00136708216966801,"10","RPS4X"
"ITGB3BP2",6.12800019000903e-08,0.745573352562333,0.475,0.219,0.00137279460256582,"10","ITGB3BP"
"NUP2102",6.14941355234599e-08,0.583844598114316,0.387,0.077,0.00137759162399655,"10","NUP210"
"RASAL31",6.21041698629788e-08,0.450542714033773,0.296,0.034,0.00139125761327045,"10","RASAL3"
"HNRNPA32",6.43094620326156e-08,0.778097981367733,0.883,0.857,0.00144066056845465,"10","HNRNPA3"
"RPLP13",7.28455015476313e-08,0.483180707166255,1,0.999,0.00163188492567004,"10","RPLP1"
"STMN12",7.67587235220418e-08,2.66389400316215,0.68,0.444,0.00171954892434078,"10","STMN1"
"RPL27A3",7.7958664622817e-08,0.475557430729113,1,0.996,0.00174643000488035,"10","RPL27A"
"TMED8",8.27548484064897e-08,0.599717463239332,0.401,0.106,0.00185387411400218,"10","TMED8"
"ACTR22",8.57698654379006e-08,0.714133784047664,0.874,0.786,0.00192141652553985,"10","ACTR2"
"CAP11",8.98630418748617e-08,0.780763615433782,0.862,0.777,0.00201311186408065,"10","CAP1"
"SNAP231",9.15250364009819e-08,0.773286783275099,0.64,0.43,0.0020503438654548,"10","SNAP23"
"ARGLU11",9.43112952403373e-08,0.553849759091689,0.876,0.785,0.00211276163597404,"10","ARGLU1"
"CBX52",9.50456381897799e-08,1.05953343121414,0.659,0.386,0.00212921238672745,"10","CBX5"
"DEGS11",9.57266314327383e-08,0.560169371558381,0.442,0.182,0.0021444679973562,"10","DEGS1"
"BIRC52",9.7651359135135e-08,1.16062675416083,0.456,0.128,0.00218758574734529,"10","BIRC5"
"MIS18BP12",1.05237371797876e-07,0.941901314826823,0.616,0.342,0.00235752760301602,"10","MIS18BP1"
"FAM129C",1.07276613504961e-07,0.472605377027001,0.294,0.003,0.00240321069573815,"10","FAM129C"
"AL158850.1",1.07276613504961e-07,0.224529023922118,0.136,0.001,0.00240321069573815,"10","AL158850.1"
"BCL2A11",1.14729565706633e-07,0.787303291273537,0.363,0.052,0.00257017173095999,"10","BCL2A1"
"APOBEC3G2",1.22053958578234e-07,0.432791762554781,0.308,0.067,0.00273425278006959,"10","APOBEC3G"
"RRM12",1.22150415721053e-07,0.649940916750819,0.427,0.227,0.00273641361298303,"10","RRM1"
"HNRNPM2",1.23997960545301e-07,0.893360935693277,0.84,0.737,0.00277780231213583,"10","HNRNPM"
"KHDRBS1",1.25345080715312e-07,0.781911921363873,0.84,0.753,0.00280798049818442,"10","KHDRBS1"
"WDFY41",1.25391829027192e-07,0.295361181163183,0.181,0.014,0.00280902775386716,"10","WDFY4"
"CMTM72",1.27245076406018e-07,0.59166251117996,0.406,0.123,0.00285054420164762,"10","CMTM7"
"SNX101",1.32577853778639e-07,0.587537454188106,0.468,0.131,0.00297000908034907,"10","SNX10"
"STRBP",1.32824263309205e-07,0.742707900295607,0.551,0.396,0.00297552914665282,"10","STRBP"
"PSMB93",1.35027155377939e-07,0.896788098245877,0.859,0.579,0.00302487833477659,"10","PSMB9"
"OSBPL9",1.40465670984364e-07,0.555562973620284,0.456,0.289,0.00314671196139172,"10","OSBPL9"
"CCM2",1.45674901276678e-07,0.622767451714047,0.492,0.277,0.00326340913840013,"10","CCM2"
"DAAM1",1.47615132523149e-07,0.932250881071725,0.578,0.419,0.00330687419878359,"10","DAAM1"
"THRAP3",1.48467354862767e-07,0.712791467996717,0.771,0.634,0.00332596568363572,"10","THRAP3"
"SMDT1",1.52559403416557e-07,0.592996370769209,0.907,0.841,0.00341763575533771,"10","SMDT1"
"PRPSAP2",1.55524679722905e-07,0.675432113731767,0.496,0.249,0.00348406387515253,"10","PRPSAP2"
"H2AFZ2",1.5839979899858e-07,1.99658910140313,0.866,0.861,0.00354847229716619,"10","H2AFZ"
"ITGB21",1.64370923415757e-07,0.25727126490277,0.353,0.081,0.00368223742635978,"10","ITGB2"
"PIK3AP12",1.64580447792273e-07,0.638118200709629,0.43,0.061,0.00368693119144251,"10","PIK3AP1"
"PNISR1",1.66448831845451e-07,0.708544259684242,0.921,0.842,0.0037287867310018,"10","PNISR"
"CENPE1",1.77049256006343e-07,0.930213532334824,0.325,0.066,0.0039662574330541,"10","CENPE"
"LBH1",1.80537232794402e-07,0.658462432676966,0.363,0.044,0.0040443950890602,"10","LBH"
"HCST2",1.8172529860697e-07,0.587417388677114,0.413,0.114,0.00407101013939333,"10","HCST"
"CBX33",1.83825395687639e-07,1.11702274354988,0.854,0.766,0.0041180565141945,"10","CBX3"
"ARHGAP11B",1.95862014681574e-07,0.581423214116241,0.308,0.041,0.00438770085289663,"10","ARHGAP11B"
"CDCA31",1.98391352549389e-07,0.788491994989271,0.358,0.088,0.00444436307981141,"10","CDCA3"
"RASGRP11",2.01485019415869e-07,0.417570929704224,0.251,0.021,0.0045136674049543,"10","RASGRP1"
"TUBB2B",2.06967645901659e-07,0.404656339391676,0.172,0.01,0.00463648920348897,"10","TUBB2B"
"GNG22",2.06967645901659e-07,0.352001070174866,0.27,0.042,0.00463648920348897,"10","GNG2"
"RFC11",2.07988192882507e-07,0.888802975766127,0.613,0.414,0.00465935149695392,"10","RFC1"
"MXD31",2.1844803674242e-07,0.666050491926988,0.31,0.054,0.00489367291910369,"10","MXD3"
"HLA-DOA1",2.18797562573199e-07,0.437021312683332,0.279,0.018,0.00490150299676481,"10","HLA-DOA"
"RPS163",2.20455695157646e-07,0.441522759170185,1,0.989,0.00493864848292159,"10","RPS16"
"SNX31",2.27620547741354e-07,0.913090851728678,0.907,0.825,0.0050991555105018,"10","SNX3"
"PPM1K2",2.37452956922261e-07,0.763474393233398,0.504,0.114,0.00531942114097249,"10","PPM1K"
"CERS4",2.41772276423607e-07,0.468408999783424,0.317,0.044,0.00541618253644165,"10","CERS4"
"RPS203",2.44770831636498e-07,0.481145450450668,0.998,0.986,0.00548335617032084,"10","RPS20"
"PNOC1",2.46090509564285e-07,0.519267703628926,0.308,0.032,0.00551291959525911,"10","PNOC"
"RPS152",2.51243088416911e-07,0.420946569299026,1,0.996,0.00562834766671565,"10","RPS15"
"CNPY31",2.55685765793343e-07,0.491844043736908,0.592,0.42,0.00572787252530246,"10","CNPY3"
"ASF1B1",2.67460676639185e-07,0.804700498633047,0.389,0.088,0.00599165407807102,"10","ASF1B"
"ASPM1",2.73153050204099e-07,1.15678327776756,0.348,0.066,0.00611917463067222,"10","ASPM"
"HNRNPA01",2.76516083059104e-07,0.711723957715181,0.84,0.766,0.00619451329269005,"10","HNRNPA0"
"SS18L2",2.79538079248857e-07,0.736381324035081,0.661,0.471,0.00626221205133289,"10","SS18L2"
"QRSL1",2.80060737471566e-07,0.532991394508652,0.418,0.253,0.00627392064083802,"10","QRSL1"
"BARD11",2.81163135923198e-07,0.444137641209786,0.346,0.156,0.00629861657095148,"10","BARD1"
"ANXA62",2.83571522945023e-07,0.802877547676272,0.494,0.14,0.00635256925701441,"10","ANXA6"
"SP1001",2.95120804541225e-07,0.698346696127687,0.642,0.439,0.00661129626333253,"10","SP100"
"ANAPC161",2.9632727938832e-07,0.592807153594065,0.9,0.839,0.00663832371285715,"10","ANAPC16"
"CENPU1",3.25104702465441e-07,0.632409053774017,0.379,0.097,0.0072829955446308,"10","CENPU"
"RNGTT",3.37920608549092e-07,0.647718807682036,0.368,0.105,0.00757009747271676,"10","RNGTT"
"UBE2E21",3.3819650548969e-07,0.39508320463655,0.286,0.056,0.00757627811598003,"10","UBE2E2"
"PBK2",3.41061787665894e-07,0.776430012629047,0.384,0.08,0.00764046616729135,"10","PBK"
"KPNA21",3.4391354914982e-07,1.45182615839584,0.456,0.226,0.00770435132805428,"10","KPNA2"
"BUB32",3.60948274960984e-07,1.12335680205345,0.709,0.543,0.00808596325567595,"10","BUB3"
"RPL39L",3.67696374746962e-07,0.692640480754302,0.379,0.089,0.00823713418708144,"10","RPL39L"
"SCPEP11",3.83456658628814e-07,0.521077981067989,0.406,0.132,0.0085901960666027,"10","SCPEP1"
"RPL102",3.95203639609485e-07,0.421486472745227,1,0.999,0.00885335193453169,"10","RPL10"
"NCR31",3.97082535425116e-07,0.379441887741125,0.215,0.008,0.00889544295859345,"10","NCR3"
"FCRL1",3.97082535425116e-07,0.368769638591584,0.212,0.003,0.00889544295859345,"10","FCRL1"
"FMNL3",3.97082535425116e-07,0.307256242567051,0.21,0.023,0.00889544295859345,"10","FMNL3"
